"","cleanTweet"
"1","Samsung Galaxy 7 vs iPhone 7 vs Google Pixel Stunning Displays DayLong Battery Life But "
"2","try the googlepixel Great phone and we are hearing great things about the battery"
"3","googlepixel 2770mah battery is no good Huge gap to accelerate I love google phone as always been nexus fan"
"4","My Dream Phone Would Have samsung screencamera HTC Speakers Moto Battery googlepixel softwareoptimization And ANDROID ORIO"
"5","Ugh googlepixel battery life is garbage compared to iPhone 7 on same carrier in same weak coverage area  Blah blah Quick Charge"
"6","Google Pixel Review Design 90 Features 80 Performance 90 Camera 90 Battery 80  GooglePixel"
"7","lg battery swollen not happy I gotta get a new device but then I saw the googlepixel  tech lover"
"8","RTHow to Fix GooglePixel and PixelXL Battery Life Issue"
"9","How to Fix GooglePixel and PixelXL Battery Life Issue"
"10","How to Fix GooglePixel and PixelXL Battery Life Issue"
"11","50 battery gone in 4 hours no phone can handle me googlepixel"
"12","That battery life though GooglePixel"
"13","Battery life on this thing is surprisingly good GooglePixel"
"14","RT5 hrs 50 min screen on time sot googlepixel android androiddev androiddevelopers google pixelxl androidn battery h"
"15","5 hrs 50 min screen on time sot googlepixel android androiddev androiddevelopers google pixelxl androidn"
"16","GooglePixel stuck for hrscant be turned offon This why I need to be able to take out the battery googlepixel"
"17","Anyone that has thw GooglePixel give me info on thw battery life please"
"18","AAPL Apple iPhone7 SSNLF SamsungGalaxyS7 and GOOGL Alphabet GooglePixel Battery Performance"
"19","Really liking the pixel from google Battery life is amazing and nougat is pretty awesome googlepixel"
"20","what the hell is my google Pixels phone battery made ofMore than a day and a half and stil"
"21","Samsung Galaxy S7 vs Apple iPhone 7 vs Google Pixel Battery performance test and "
