"","cleanTweet"
"1","New iPhone is killin it cant remember last time I got over 24 full hours of battery on a single charge Iphone7"
"2","Used my phone ALL day Texts Snapchat Social media Music ShoppingI still have 25 battery High 5your iPhone 7  iPhone7"
"3","RTBattery on my iPhone7 sucks already"
"4","Mophie now shipping Juice Pack Air battery cases for iPhone 7 and 7 PlusCNETiPhone7 iPhone7Plus"
"5","Mophie now shipping Juice Pack Air battery cases for iPhone 7 and 7 PlusCNETiphone7 iphone7Plus"
"6","Mophie unveiled juice packair battery cases for iPhone7 and 7Plus with wireless charging for 9995"
"7","Your iPhone7 can now use wireless charging with this Mophie battery case"
"8","Im not saying I regret my iphone7 but man do I miss the never ending awesome battery life of my iphone6 Come on Apple what the heck"
"9","RTiPhone7 HowToiPhone 7 Latest News and Updates Sudden Battery Drain"
"10","iPhone7 HowToiPhone 7 Latest News and Updates Sudden Battery Drain"
"11","iPhone7 HowToiPhone 7 Latest News and Updates Sudden Battery Drain"
"12","iPhone7 HowToiPhone 7 Latest News and Updates Sudden Battery Drain"
"13","iPhone7 HowToiPhone 7 Latest News and Updates Sudden Battery Drain"
"14","iPhone7 HowToiPhone 7 Latest News and Updates Sudden Battery Drain"
"15","iPhone7 HowToiPhone 7 Latest News and Updates Sudden Battery Drain"
"16","Apple preparing iPhone software update to diagnose battery issuesapple news tech iPhone twitter iPhone7 WW"
"17","iPhone7 now has the best performancebattery life ever as well as new finishesstereo speakers Get your han"
"18","This iphone7 battery last long af "
"19","One thing I can say about the iphone7 is that the battery lasts me all day I love it"
"20","Shout out to the battery life on the iphone7"
"21","My Iphone7 pluss battery lasted almost 2 full days of my normal usage on one battery charge Coolness"
"22","your iphone7 has the most piss poor battery"
"23","iPhone7 BatteryLifeiPhone 7 issues How to fix problems with activation Bluetooth"
"24","iPhone7 BatteryLifeiPhone 7 issues How to fix problems with activation Bluetooth"
"25","iPhone7 BatteryLifeiPhone 7 issues How to fix problems with activation Bluetooth"
"26","iPhone7 BatteryLifeiPhone 7 issues How to fix problems with activation Bluetooth"
"27","iPhone7 BatteryLifeiPhone 7 issues How to fix problems with activation Bluetooth"
"28","iPhone7 BatteryLifeiPhone 7 issues How to fix problems with activation Bluetooth"
"29","battery issues iPhone7"
"30","My phone dies when it hits 60 batteryI have to buy a new phoneiphone7 or iphone6s thisisannoying cm355"
"31","RTArent cancer rates correlated to iPhone7  penetration rate"
"32","Apple FINALLY addressed iPhone 6s battery problems  but only in Chinese virtualreality iphone7"
"33","Apple FINALLY addressed iPhone 6s battery problems  but only in Chinese virtualreality iphone7"
"34","RTBest Battery Banks for iPhoneapple news tech iPhone twitter iPhone7 WWDC applewatch iOS10"
"35","Best Battery Banks for iPhoneapple news tech iPhone twitter iPhone7 WWDC applewatch iOS10 jailbreak Pa"
"36","Big problem face for iPhone use is battery Apple iphone7 iPhone 5s"
"37","my phone battery has lasted 13 hours and is still not dead and im so impressed iphone7"
"38","iMod Volta is the next best thing to a removable iPhone battery iPhone6 iPhone6s iPhone7 Sign up at"
"39","amazednow 1844took my iPhone7 offcharge at 5amIt still has 34 battery lifelike the days of the preSmartPhone Nokia"
